"Clock","Addr","Dir","Seq","Bytes","TxDir","TimeDiffTicks"
"134287964847872934","0x4D","WRITE","1","0xD0","FromDevice","3084"
"134287964847876214","0x4D","READ","1","0xD0","FromDevice","196"
"134287964847878898","0x4D","WRITE","1","0x0D","ToDevice","124"
"134287964847881346","0x4D","READ","1","0xD0","FromDevice","166"
"134287964847883763","0x4D","WRITE","2","0x0DD0","ToDevice","84"
"134287964847886155","0x4D","WRITE","1","0x0F","ToDevice","67"
"134287964847888166","0x4D","READ","1","0x00","FromDevice","131"
"134287964847890625","0x4D","WRITE","2","0x0F0A","ToDevice","82"
"134287964847893029","0x4D","WRITE","2","0x0DD1","ToDevice","110"
"134287964847895545","0x4D","WRITE","1","0x43","ToDevice","134"
"134287964847897792","0x4D","READ","1","0x00","FromDevice","87"
"134287964847899887","0x4D","WRITE","1","0x43","ToDevice","70"
"134287964847901923","0x4D","READ","1","0x00","FromDevice","78"
"134287964847904179","0x4D","WRITE","2","0x4302","ToDevice","63"
"134287964847906451","0x4D","WRITE","2","0x4175","ToDevice","62"
"134287964847908521","0x4D","WRITE","2","0x4034","ToDevice","58"
"134287964847910744","0x4D","WRITE","2","0x4206","ToDevice","59"
"134287964847913066","0x4D","WRITE","2","0x3C6D","ToDevice","69"
"134287964847915520","0x4D","WRITE","2","0x3F34","ToDevice","62"
"134287964847917840","0x4D","WRITE","1","0x47","ToDevice","114"
"134287964847920171","0x4D","READ","1","0x00","FromDevice","128"
"134287964847922481","0x4D","WRITE","2","0x4701","ToDevice","104"
"134287964847924938","0x4D","WRITE","1","0x48","ToDevice","100"
"134287964847927160","0x4D","READ","1","0x04","FromDevice","115"
"134287964847929565","0x4D","WRITE","2","0x4805","ToDevice","111"
"134287964847932105","0x4D","WRITE","1","0x44","ToDevice","85"
"134287964847934297","0x4D","READ","1","0x00","FromDevice","99"
"134287964847936479","0x4D","WRITE","2","0x4401","ToDevice","76"
"134287964847938732","0x4D","WRITE","1","0x22","ToDevice","66"
"134287964847940590","0x4D","READ","1","0x00","FromDevice","65"
"134287964847942781","0x4D","WRITE","2","0x2200","ToDevice","66"
"134287964847965685","0x4D","WRITE","2","0x2200","ToDevice","205"
"134287964847968413","0x4D","WRITE","1","0x22","ToDevice","113"
"134287964847970664","0x4D","READ","1","0x00","FromDevice","75"
"134287964847972920","0x4D","WRITE","2","0x2204","ToDevice","84"
"134287964847995677","0x4D","WRITE","2","0x2205","ToDevice","179"
